Tramnummer;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;;;;
1;06:00:00;06:24:00;06:48:00;07:12:00;07:36:00;08:00:00;08:24:00;08:48:00;09:12:00;09:36:00;10:00:00;10:24:00;10:48:00;11:12:00;11:36:00;12:00:00;12:24:00;12:48:00;13:12:00;13:36:00;14:00:00;14:24:00;14:48:00;15:12:00;15:36:00;16:00:00;16:24:00;16:48:00;17:12:00;17:36:00;18:00:00;18:24:00;18:48:00;19:12:00;19:36:00;20:00:00;20:24:00;20:48:00;21:12:00;;;;;
2;;;;;;08:03:00;08:27:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;;;;07:18:00;07:42:00;08:06:00;08:30:00;08:54:00;09:18:00;09:42:00;10:06:00;10:30:00;10:54:00;11:18:00;11:42:00;12:06:00;12:30:00;12:54:00;13:18:00;13:42:00;14:06:00;14:30:00;14:54:00;15:18:00;15:42:00;16:06:00;16:30:00;16:54:00;17:18:00;17:42:00;18:06:00;18:30:00;18:54:00;;;;;;;;;;;
4;;;;;;08:09:00;08:33:00;;;;;;;;;;;;;;;;;;;16:09:00;16:33:00;16:57:00;17:21:00;17:45:00;18:09:00;18:33:00;18:57:00;;;;;;;;;;;
5;;;;07:24:00;07:48:00;08:12:00;08:36:00;09:00:00;09:24:00;09:48:00;10:12:00;10:36:00;11:00:00;11:24:00;11:48:00;12:12:00;12:36:00;13:00:00;13:24:00;13:48:00;14:12:00;14:36:00;15:00:00;15:24:00;15:48:00;16:12:00;16:36:00;17:00:00;17:24:00;17:48:00;18:12:00;18:36:00;19:00:00;19:24:00;19:48:00;20:12:00;20:36:00;21:00:00;21:24:00;;;;;
6;;;;;;08:15:00;08:39:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;;;;07:30:00;07:54:00;08:18:00;08:42:00;09:06:00;09:30:00;09:54:00;10:18:00;10:42:00;11:06:00;11:30:00;11:54:00;12:18:00;12:42:00;13:06:00;13:30:00;13:54:00;14:18:00;14:42:00;15:06:00;15:30:00;15:54:00;16:18:00;16:42:00;17:06:00;17:30:00;17:54:00;18:18:00;18:42:00;19:06:00;;;;;;;;;;;
8;;;;;;08:21:00;08:45:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;06:24:00;06:48:00;07:12:00;07:36:00;08:00:00;08:24:00;08:48:00;09:12:00;09:36:00;10:00:00;10:24:00;10:48:00;11:12:00;11:36:00;12:00:00;12:24:00;12:48:00;13:12:00;13:36:00;14:00:00;14:24:00;14:48:00;15:12:00;15:36:00;16:00:00;16:24:00;16:48:00;17:12:00;17:36:00;18:00:00;18:24:00;18:48:00;19:12:00;19:36:00;20:00:00;20:24:00;20:48:00;21:12:00;;;;;;
10;;;;07:39:00;08:03:00;08:27:00;08:51:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;;06:54:00;07:18:00;07:42:00;08:06:00;08:30:00;08:54:00;09:18:00;09:42:00;10:06:00;10:30:00;10:54:00;11:18:00;11:42:00;12:06:00;12:30:00;12:54:00;13:18:00;13:42:00;14:06:00;14:30:00;14:54:00;15:18:00;15:42:00;16:06:00;16:30:00;16:54:00;17:18:00;17:42:00;18:06:00;18:30:00;18:54:00;19:18:00;;;;;;;;;;;
12;;;;07:45:00;08:09:00;08:33:00;08:57:00;;;;;;;;;;;;;;;;;;;16:33:00;16:57:00;17:21:00;17:45:00;18:09:00;18:33:00;18:57:00;19:21:00;;;;;;;;;;;
13;;07:00:00;07:24:00;07:48:00;08:12:00;08:36:00;09:00:00;09:24:00;09:48:00;10:12:00;10:36:00;11:00:00;11:24:00;11:48:00;12:12:00;12:36:00;13:00:00;13:24:00;13:48:00;14:12:00;14:36:00;15:00:00;15:24:00;15:48:00;16:12:00;16:36:00;17:00:00;17:24:00;17:48:00;18:12:00;18:36:00;19:00:00;19:24:00;19:48:00;20:12:00;20:36:00;21:00:00;21:24:00;;;;;;
14;;;;07:51:00;08:15:00;08:39:00;09:03:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;;07:06:00;07:30:00;07:54:00;08:18:00;08:42:00;09:06:00;09:30:00;09:54:00;10:18:00;10:42:00;11:06:00;11:30:00;11:54:00;12:18:00;12:42:00;13:06:00;13:30:00;13:54:00;14:18:00;14:42:00;15:06:00;15:30:00;15:54:00;16:18:00;16:42:00;17:06:00;17:30:00;17:54:00;18:18:00;18:42:00;19:06:00;19:30:00;;;;;;;;;;;
16;;;;07:57:00;08:21:00;08:45:00;09:09:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
